sheet,cell,formula
Cover Sheet,B1,"=IF(AND(D9>4807,D5=1,D4>8),""CONSULT RUBADUE ENGINEERING WITH RESPECT TO THIS CONSTRUCTION."","""")"
Cover Sheet,H3,"=IF(D5="""","""",IF(D3<26,K3,IF(D5=1,K4,IF(D5=2,K5,K6))))"
Cover Sheet,H4,"=IFERROR(INDEX(litzBARE[#Data],MATCH(D4,litzBARE[AWG],0),MATCH(""MAX DCR"",litzBARE[#Headers],0)),"""")"
Cover Sheet,D5,=H33
Cover Sheet,H5,"=IFERROR(((H4/D3)*H3)/1000,"""")"
Cover Sheet,D6,"=IF(H33=1,""Type 1"",IF(AND(D4<32,D3>M10),""Type 2"",""Select Type""))"
Cover Sheet,H6,"=IFERROR(H5/0.3048,"""")"
Cover Sheet,D7,"=IF(D6="""",""SELECT LITZ TYPE"",IF(D6=""Type 1"",VLOOKUP(D5,TYPE1,4,0),IF(AND(D5=4,D6=""TYPE 2"",D4<44),1.363,VLOOKUP(D5,TYPE2,4,0))))"
Cover Sheet,E7,"=IF(AND(D5>3,D6=""Type 1""),""PLEASE CONSULT RUBADUE ENGINEERING FOR TYPE 1 LITZ CONSTRUCTIONS REQUIRING 4+ OPERATIONS."","""")"
Cover Sheet,D8,"=IF(D6="""",""SELECT LITZ TYPE"",IF(D6=""Type 1"",VLOOKUP(D5,TYPE1,5,0),VLOOKUP(D5,TYPE2,5,0)))"
Cover Sheet,E8,"=IF(AND(D5>3,D6=""Type 1""),""PLEASE CONSULT RUBADUE ENGINEERING FOR TYPE 1 LITZ CONSTRUCTIONS REQUIRING 4+ OPERATIONS."","""")"
Cover Sheet,D9,"=IFERROR(INDEX(litzBARE[#Data],MATCH(D4,litzBARE[AWG],0),MATCH(""CMA SOLID"",litzBARE[#Headers],0))*$D$3,"""")"
Cover Sheet,I9,"=""Default Litz Construction - ""&D6"
Cover Sheet,D10,"=IFERROR($D$9*0.000506707,"""")"
Cover Sheet,F10,"=IFERROR(IF((INDEX(awg_Stranded[],MATCH(D9,awg_Stranded[Min CMA],-1),1)+1)>50,"""",(INDEX(awg_Stranded[],MATCH(D9,awg_Stranded[Min CMA],-1),1)+1)&"" AWG""),"""")"
Cover Sheet,I10,"=IF(H33=1,Q25,IF(D6=""Type 1"",VLOOKUP(D5,P25:Q27,2,0),VLOOKUP(D5,P28:Q32,2,0)))"
Cover Sheet,M10,"=VLOOKUP(D4,MAXENDS,2,0)"
Cover Sheet,B11,"=IF(AND(D9>4807,D5=1,D4>8),""CONSULT RUBADUE ENGINEERING WITH RESPECT TO THIS CONSTRUCTION."","""")"
Cover Sheet,B14,=C14-5
Cover Sheet,C14,=D14-5
Cover Sheet,D14,=E14-5
Cover Sheet,E14,=F14-5
Cover Sheet,F14,=G14-5
Cover Sheet,G14,"=IF(MOD(H14,5)=0,H14-5,ROUNDDOWN(H14,-1)+5)"
Cover Sheet,H14,=D3
Cover Sheet,I14,"=IF(MOD(H14,5)=0,H14+5,ROUNDUP(H14,-1))"
Cover Sheet,J14,"=IF(MOD(I14,5)=0,I14+5,ROUNDUP(I14,-1))"
Cover Sheet,K14,=J14+5
Cover Sheet,L14,=K14+5
Cover Sheet,M14,=L14+5
Cover Sheet,B15,"=IFERROR(MOD(B14,5)=0,"""")"
Cover Sheet,C15,"=IFERROR(MOD(C14,5)=0,"""")"
Cover Sheet,D15,"=IFERROR(MOD(D14,5)=0,"""")"
Cover Sheet,E15,"=IFERROR(MOD(E14,5)=0,"""")"
Cover Sheet,F15,"=IFERROR(MOD(F14,5)=0,"""")"
Cover Sheet,G15,"=IFERROR(MOD(G14,5)=0,"""")"
Cover Sheet,H15,"=IFERROR(MOD(H14,5)=0,"""")"
Cover Sheet,I15,"=IFERROR(MOD(I14,5)=0,"""")"
Cover Sheet,J15,"=IFERROR(MOD(J14,5)=0,"""")"
Cover Sheet,K15,"=IFERROR(MOD(K14,5)=0,"""")"
Cover Sheet,L15,"=IFERROR(MOD(L14,5)=0,"""")"
Cover Sheet,M15,"=IFERROR(MOD(M14,5)=0,"""")"
Cover Sheet,B16,"=MOD(B14,3)=0"
Cover Sheet,C16,"=MOD(C14,3)=0"
Cover Sheet,D16,"=MOD(D14,3)=0"
Cover Sheet,E16,"=MOD(E14,3)=0"
Cover Sheet,F16,"=MOD(F14,3)=0"
Cover Sheet,G16,"=MOD(G14,3)=0"
Cover Sheet,H16,"=MOD(H14,3)=0"
Cover Sheet,I16,"=MOD(I14,3)=0"
Cover Sheet,J16,"=MOD(J14,3)=0"
Cover Sheet,K16,"=MOD(K14,3)=0"
Cover Sheet,L16,"=MOD(L14,3)=0"
Cover Sheet,M16,"=MOD(M14,3)=0"
Cover Sheet,B17,"=MOD(B14,4)=0"
Cover Sheet,C17,"=MOD(C14,4)=0"
Cover Sheet,D17,"=MOD(D14,4)=0"
