Bare Conductor Info,,,,,SINGLE,,,,,HEAVY,,,,,TRIPLE,,,,,QUAD,,,,
AWG,Max DCR,BARE OD,CMA Solid,Min Litz CMA,AWG,MIN,NOM,MAX,LBS/MFT,AWG,MIN,NOM,MAX,LBS/MFT,AWG,MIN,NOM,MAX,LBS/MFT,AWG,MIN,NOM,MAX,LBS/MFT
12,1.62,.0808,6529,"6,399",12,.0814,.0827,.0840,19.93,12,.0829,.0837,.0847,20.03,12,,,,,12,,,,
13,2.04,.0720,5184,"5,076",13,.0727,.0739,.0750,15.81,13,.0741,.0749,.0757,15.90,13,,,,,13,,,,
14,2.57,.0641,4109,"4,028",14,.0651,.0658,.0666,12.50,14,.0667,.0675,.0682,12.57,14,.0683,.0692,.0700,12.74,14,.0684,.0700,.0715,12.8
15,3.25,.0571,3260,"3,195",15,.0580,.0587,.0594,9.950,15,.0595,.0602,.0609,10.01,15,.0610,.0619,.0627,10.13,15,.0613,.0628,.0644,10.18
16,4.10,.0508,2581,"2,528",16,.0517,.0524,.0531,7.890,16,.0532,.0539,.0545,7.950,16,.0546,.0554,.0562,8.039,16,.0549,.0563,.0577,8.079
17,5.17,.0453,2052,"2,009",17,.0462,.0468,.0475,6.260,17,.0476,.0482,.0488,6.320,17,.0489,.0497,.0504,6.402,17,.0493,.0506,.0520,6.434
18,6.51,.0403,1624,"1,588",18,.0412,.0418,.0424,4.970,18,.0425,.0431,.0437,5.020,18,.0438,.0445,.0452,5.079,18,.0443,.0456,.0468,5.105
19,8.23,.0359,1289,"1,264",19,.0367,.0373,.0379,3.950,19,.0380,.0386,.0391,3.990,19,.0392,.0399,.0406,4.040,19,.0397,.0410,.0422,4.06
20,10.32,.0320,1024,"1,000",20,.0329,.0334,.0339,3.130,20,.0340,.0346,.0351,3.160,20,.0352,.0358,.0364,3.218,20,.0357,.0368,.0379,3.234
21,13.04,.0285,812,796,21,.0293,.0298,.0303,2.483,21,.0304,.0309,.0314,2.510,21,.0315,.0321,.0326,2.558,21,.0321,.0332,.0342,2.571
